,DESC_KOR,SERVING_WT,NUTR_CONT1,NUTR_CONT2,NUTR_CONT3,NUTR_CONT4,NUTR_CONT5,NUTR_CONT6,NUTR_CONT7,NUTR_CONT8,NUTR_CONT9
0,"도우넛,케이크",70,262.50,42.21,4.90,8.26,N/A,112.00,14.00,N/A,N/A
1,"도우넛,팥",100,347.00,45.70,6.60,15.30,0.00,188.00,0.00,0.00,N/A
2,"도우넛,팥",100,347.00,45.70,6.60,15.30,N/A,188.00,N/A,N/A,N/A
3,소프트롤빵,100,316.00,48.60,10.10,9.00,N/A,490.00,0.00,N/A,N/A
4,소프트롤빵,100,316.00,48.60,10.10,9.00,6.40,490.00,N/A,4.02,N/A
5,하드롤빵,100,293.00,52.70,9.90,4.30,N/A,544.00,0.00,N/A,N/A
6,하드롤빵,100,293.00,52.70,9.90,4.30,1.77,544.00,0.00,0.61,N/A
7,마늘빵,100,500.00,54.90,10.80,27.90,N/A,623.00,N/A,N/A,N/A
8,마늘빵,100,424.00,57.50,9.80,17.20,0.00,558.00,0.00,0.00,N/A
9,"만주,밤",100,309.00,68.30,6.00,1.30,N/A,25.00,N/A,N/A,N/A
10,"만주,밤",100,330.00,70.86,6.35,2.39,42.45,158.00,0.00,0.86,N/A
11,우유머핀,100,296.00,41.40,6.90,11.40,N/A,467.00,0.00,N/A,N/A
12,우유머핀,100,296.00,41.40,6.90,11.40,0.00,467.00,39.00,2.16,N/A
13,잉글리쉬머핀,100,234.00,46.00,7.70,1.80,N/A,464.00,0.00,N/A,N/A
14,잉글리쉬머핀,100,235.00,46.00,7.70,1.80,0.00,464.00,0.00,0.26,N/A
15,"밀가공(빵류),모카빵",100,316.00,58.20,8.90,4.00,N/A,367.00,N/A,N/A,N/A
16,"밀가공(빵류),모카빵",100,354.00,63.29,8.31,7.53,15.43,316.00,33.99,3.63,N/A
17,달걀베이글,100,278.00,53.00,10.60,2.10,N/A,505.00,N/A,N/A,N/A
18,달걀베이글,100,278.00,53.00,10.60,2.10,0.00,505.00,24.00,0.42,N/A
19,식빵,100,284.00,51.10,8.30,5.20,N/A,66.00,0.00,N/A,N/A
20,식빵,100,279.00,49.68,9.01,4.91,4.12,516.00,0.00,2.87,N/A
21,옥수수식빵,100,275.00,54.40,8.30,2.70,N/A,457.00,N/A,N/A,N/A
22,옥수수식빵,100,270.00,50.45,9.44,3.42,5.32,524.00,0.00,1.56,N/A
23,우유식빵,100,285.00,48.70,9.10,6.00,N/A,434.00,N/A,N/A,N/A
24,우유식빵,100,285.00,48.70,9.10,6.00,0.00,434.00,0.00,0.00,N/A
25,토스트식빵,100,293.00,54.40,9.00,4.00,N/A,592.00,N/A,N/A,N/A
26,토스트식빵,100,266.00,49.37,9.35,3.50,4.15,456.00,0.00,1.49,N/A
27,옥수수빵,100,314.00,48.10,7.20,10.00,N/A,778.00,N/A,N/A,N/A
28,옥수수빵,100,321.00,49.10,7.40,10.20,0.00,795.00,62.00,2.80,N/A
29,잼빵,100,297.00,54.50,6.60,5.80,N/A,310.00,N/A,N/A,N/A
30,잼빵,100,297.00,54.50,6.60,5.80,35.40,310.00,0.00,-2.58,N/A
31,크로아상,100,448.00,43.90,7.90,26.80,N/A,470.00,N/A,N/A,N/A
32,크로아상,100,448.00,43.90,7.90,26.80,0.00,470.00,N/A,-12.16,N/A
33,크로아상,100,448.00,43.90,7.90,26.80,N/A,470.00,N/A,N/A,N/A
34,크로아상,100,448.00,43.90,7.90,26.80,0.00,470.00,N/A,-12.16,N/A
35,버터크로아상,100,405.00,45.80,8.20,21.00,N/A,744.00,N/A,N/A,N/A
36,버터크로아상,100,406.00,45.80,8.20,21.00,11.26,467.00,67.00,11.66,N/A
37,"밀가공(빵류),크림빵",100,274.00,45.50,6.00,7.70,N/A,160.00,N/A,N/A,N/A
38,"밀가공(빵류),크림빵",100,275.00,45.50,6.00,7.70,0.00,160.00,0.00,0.00,N/A
39,버터크림빵,100,383.00,46.20,8.20,18.40,0.00,319.00,0.00,0.00,N/A
40,버터크림빵,100,383.00,46.20,8.20,18.40,N/A,319.00,N/A,N/A,N/A
41,"밀가공(빵류),팥빵",100,293.00,52.50,7.60,6.10,N/A,168.00,0.00,N/A,N/A
42,"밀가공(빵류),팥빵",100,253.00,48.51,7.57,3.17,16.37,180.00,19.01,1.69,N/A
43,패이스트리,100,457.00,46.50,8.60,26.30,0.00,423.00,0.00,0.00,N/A
44,패이스트리,100,457.00,46.50,8.60,26.30,N/A,423.00,N/A,N/A,N/A
45,과일패이스트리,100,371.00,47.80,5.40,18.50,N/A,354.00,N/A,N/A,N/A
46,과일패이스트리,100,371.00,47.80,5.40,18.50,27.53,445.00,114.00,4.86,N/A
47,치즈패이스트리,100,374.00,37.20,8.00,21.90,N/A,450.00,N/A,N/A,N/A
48,치즈패이스트리,100,374.00,37.20,8.00,21.90,6.95,417.00,23.00,6.79,N/A
49,고기호빵,70,175.70,30.52,6.44,3.08,N/A,252.00,N/A,N/A,N/A
50,팥찐빵,100,244.00,51.60,7.30,0.90,N/A,222.00,N/A,N/A,N/A
51,팥찐빵,100,213.00,44.36,5.96,1.29,10.42,158.00,0.00,0.58,N/A
52,호밀빵,100,264.00,52.70,8.40,2.20,N/A,470.00,0.00,N/A,N/A
53,호밀빵,100,264.00,52.70,8.40,2.20,0.00,470.00,0.00,-0.90,N/A
54,초코파이,100,428.00,67.59,4.29,15.57,31.18,224.00,0.00,9.51,N/A
55,초코파이,100,441.00,63.60,4.40,18.80,N/A,209.00,N/A,N/A,N/A
56,슈크림빵,70,170.80,18.48,4.27,2.38,N/A,114.80,N/A,N/A,N/A
57,와플,100,291.00,32.90,7.90,14.10,N/A,511.00,69.00,N/A,N/A
58,와플,100,291.00,32.90,7.90,14.10,0.00,511.00,69.00,2.87,N/A
59,와플잼,100,237.00,49.40,3.40,2.90,N/A,37.00,N/A,N/A,N/A
60,와플잼,100,287.00,57.30,4.80,4.20,36.40,51.00,59.00,-1.55,N/A
61,와플커스터드크림,100,256.00,36.00,8.30,8.80,N/A,90.00,N/A,N/A,N/A
62,와플커스터드크림,100,252.00,38.10,7.30,7.90,15.10,65.00,170.00,-2.63,N/A
63,팬케이크,100,227.00,28.30,6.40,9.70,N/A,439.00,N/A,N/A,N/A
64,팬케이크,100,227.00,28.30,6.40,9.70,0.00,439.00,59.00,2.12,N/A
65,카스텔라,100,299.00,59.46,6.91,3.72,24.85,81.00,138.68,1.27,N/A
66,카스텔라,100,324.00,55.10,6.70,8.50,N/A,105.00,N/A,N/A,N/A
67,감카스텔라,70,238.00,36.96,4.83,7.84,N/A,11.20,N/A,N/A,N/A
68,달걀커스타드,0,0.00,0.00,0.00,0.00,N/A,0.00,N/A,N/A,N/A
69,꽈배기,100,404.00,47.20,7.90,20.40,0.00,431.00,0.00,0.00,N/A
70,꽈배기,100,404.00,47.20,7.90,20.40,N/A,431.00,N/A,N/A,N/A
71,모닝빵,100,316.00,58.99,9.06,4.91,11.33,260.00,8.77,2.33,N/A
72,모닝빵,100,331.00,52.10,9.90,9.30,N/A,394.00,N/A,N/A,N/A
73,바게트빵,100,279.00,57.50,9.40,1.30,N/A,620.00,0.00,N/A,N/A
74,바게트빵,100,279.00,57.50,9.40,1.30,1.80,620.00,0.00,-0.29,N/A
75,단호박소찐빵,100,239.00,52.40,5.40,0.90,N/A,280.00,N/A,N/A,N/A
76,단호박소찐빵,100,239.00,52.40,5.40,0.90,0.00,280.00,0.00,0.00,N/A
77,채소찐빵,100,231.00,37.30,8.10,5.50,N/A,409.00,N/A,N/A,N/A
78,채소찐빵,100,231.00,37.30,8.10,5.50,0.00,409.00,0.00,0.00,N/A
79,배케이크,100,296.00,43.50,6.20,10.80,N/A,277.00,N/A,N/A,N/A
80,배케이크,100,296.00,43.50,6.20,10.80,0.00,277.00,0.00,0.00,N/A
81,채소크로켓,100,301.00,31.20,7.10,16.40,0.00,403.00,0.00,0.00,N/A
82,채소크로켓,100,301.00,31.20,7.10,16.40,N/A,403.00,N/A,N/A,N/A
83,소프트비스킷,100,522.00,62.60,5.70,27.60,N/A,220.00,58.00,N/A,N/A
84,소프트비스킷,100,489.00,60.34,5.70,24.93,23.46,227.00,31.02,11.98,N/A
85,비스킷하드,100,432.00,77.80,7.60,10.00,N/A,320.00,10.00,N/A,N/A
86,비스킷하드,100,534.00,62.63,6.68,28.58,9.21,481.00,1.59,13.97,N/A
87,사과파이,100,304.00,32.70,4.00,17.50,N/A,260.00,0.00,N/A,N/A
88,사과파이,100,471.00,64.98,5.50,21.00,22.83,207.00,0.00,11.38,N/A
89,피칸파이,100,345.00,43.20,8.00,17.20,N/A,90.00,N/A,N/A,N/A
90,피칸파이,100,360.00,43.20,8.00,17.20,0.00,90.00,0.00,0.00,N/A
91,달걀치즈샌드위치,150,349.50,26.70,16.05,19.95,N/A,826.50,N/A,N/A,N/A
92,닭고기샌드위치,100,283.00,21.30,13.20,16.20,N/A,526.00,N/A,N/A,N/A
93,닭고기샌드위치,100,250.00,20.81,16.28,11.19,3.64,753.00,35.00,2.12,N/A
94,생선샌드위치,100,273.00,26.00,10.70,14.40,N/A,389.00,N/A,N/A,N/A
95,생선샌드위치,100,257.00,26.69,10.29,12.45,3.53,602.00,35.00,1.95,N/A
96,소고기샌드위치,100,249.00,24.10,15.50,9.90,N/A,570.00,N/A,N/A,N/A
97,소고기샌드위치,100,244.00,22.21,15.17,10.30,3.84,653.00,30.00,3.40,N/A
98,햄치즈샌드위치,100,218.00,24.80,7.40,9.90,0.00,451.00,0.00,0.00,N/A
99,햄치즈샌드위치,100,218.00,24.80,7.40,9.90,N/A,451.00,N/A,N/A,N/A
